hebrew,english
'ביר הדאג,Bir al-Hadaj
אבו גוש,Abu Ghosh
אבו נוור,Abu Nuwwar
אבו סנאן,Abu Sinan
אבו קרינאת,Abu Qreinat
אבו קרינאת והפזורה,Abu Qreinat and Dispersion
אבו תלול,Abu Talul
אבו-גוש,Abu Ghosh
אבו-תלול והפזורה,Abu Talul and Dispersion
אבטליון,Avtalyon
אביאל,Aviel
אביבים,Avivim
אביגדור,Avigdor
אביגיל,Avigail
אביחיל,Avihail
אביעזר,Aviezer
אבירים,Abirim
אביתר,Evitar
אבן יהודה,Even Yehuda
אבן מנחם,Even Menahem
אבן ספיר,Even Sapir
אבן שמואל,Even Shmuel
אבני איתן,Avnei Eitan
אבני חפץ,Avnei Hefetz
אבנת,Avnat
אבשלום,Avshalom
אדורה,Adora
אדוריים,Adorayim
אדורים,Adorim
אדמית,Adamit
אדרת,Aderet
אודים,Udim
אודם,Odem
אוהד,Ohad
אום אל פחם,Umm al-Fahm
אום אל קוטוף,Umm al-Qutuf
אום אל-גנם,Umm al-Ghanam
אום אלג'נם,Umm al-Ghanam
אום בטין,Umm Batin
אום בטין והפזורה,Umm Batin and Dispersion
אופקים,Ofakim
אור הגנוז,Or HaGanuz
אור הנר,Or HaNer
אור יהודה,Or Yehuda
אור עקיבא,Or Akiva
אורה,Ora
אורון תעשייה ומסחר,Uron Industrial and Commercial Zone
אורות,Orot
אורטל,Ortal
אורים,Urim
אורנים,Oranim
אורנית,Ornit
אושה,Usha
אזור,Azor
אזור תעשייה אכזיב מילואות,Achziv-Milot Industrial Zone
אזור תעשייה אלון התבור,Alon HaTavur Industrial Zone
אזור תעשייה אפק ולב הארץ,Afek and Lev HaAretz Industrial Zone
אזור תעשייה אריאל,Ariel Industrial Zone
אזור תעשייה באר טוביה,Beer Tuvia Industrial Zone
אזור תעשייה בני יהודה,Bnei Yehuda Industrial Zone
אזור תעשייה בר-לב,Bar-Lev Industrial Zone
אזור תעשייה בראון,Braun Industrial Zone
אזור תעשייה ברוש,Brosh Industrial Zone
אזור תעשייה ברקן,Barkan Industrial Zone
אזור תעשייה גדרה,Gedera Industrial Zone
אזור תעשייה דימונה,Dimona Industrial Zone
אזור תעשייה הדרומי אשקלון,Ashkelon Southern Industrial Zone
אזור תעשייה הר טוב - צרעה,Har Tuv - Tzora Industrial Zone
אזור תעשייה חבל מודיעין,Hevel Modi'in Industrial Zone
אזור תעשייה חבל מודיעין שוהם,Hevel Modi'in Shoham Industrial Zone
אזור תעשייה חצור הגלילית,Hazor HaGlilit Industrial Zone
אזור תעשייה טירה,Tire Industrial Zone
אזור תעשייה טמרה,Tamra Industrial Zone
אזור תעשייה יקנעם עילית,Yokneam Illit Industrial Zone
אזור תעשייה כנות,Kanot Industrial Zone
אזור תעשייה כפר יונה,Kfar Yona Industrial Zone
אזור תעשייה כרמיאל,Karmiel Industrial Zone
אזור תעשייה מבוא כרמל,Mevo Carmel Industrial Zone
אזור תעשייה מבואות הגלבוע,Mevo'ot HaGilboa Industrial Zone
אזור תעשייה מישור אדומים,Mishor Adumim Industrial Zone
אזור תעשייה מיתרים,Mitarim Industrial Zone
אזור תעשייה נ.ע.מ,N.A.M. Industrial Zone
אזור תעשייה ניר עציון,Nir Etzion Industrial Zone
אזור תעשייה נשר - רמלה,Nesher - Ramle Industrial Zone
אזור תעשייה עד הלום,Ad Halom Industrial Zone
אזור תעשייה עידן הנגב,Idan HaNegev Industrial Zone
אזור תעשייה עמק חפר,Emek Hefer Industrial Zone
אזור תעשייה צ.ח.ר,Tzahar Industrial Zone
אזור תעשייה צבאים,Zvayim Industrial Zone
אזור תעשייה ציפורית,Tzipori Industrial Zone
אזור תעשייה צמח,Tzemaḥ Industrial Zone
אזור תעשייה צפוני אשקלון,Ashkelon Northern Industrial Zone
אזור תעשייה קדמת גליל,Kadmat Galil Industrial Zone
אזור תעשייה קיסריה,Caesarea Industrial Zone
אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone
אזור תעשייה קריית גת,Kiryat Gat Industrial Zone
אזור תעשייה רבדים,Ravadim Industrial Zone
אזור תעשייה רגבים,Regavim Industrial Zone
אזור תעשייה רגמ,Regem Industrial Zone
אזור תעשייה רותם,Rotem Industrial Zone
אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone
אזור תעשייה שחורת,Shahoret Industrial Zone
אזור תעשייה שחק,Shahak Industrial Zone
אזור תעשייה שער בנימין,Sha'ar Binyamin Industrial Zone
אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone
אזור תעשייה תימורים,Timorim Industrial Zone
אזור תעשייה תרדיון,Tardion Industrial Zone
אחווה,Ahava
אחוזם,Ahuzam
אחוזת ברק,Ahuzat Barak
אחיה,Ahia
אחיהוד,Ahihud
אחיטוב,Ahitub
אחיסמך,Ahisamakh
אחיעזר,Ahiezer
איבטין,Ibtin
איבי הנחל,Ibei HaNahal
איבים,Ivim
איזור תעשייה מילואות צפון,Milot North Industrial Zone
אייל,Eyal
איילת השחר,Ayelet HaShahar
איירפורט סיטי,Airport City
אילון,Eylon
אילות,Eilot
אילניה,Ilaniya
אילת,Eilat
אירוס,Irus
איתמר,Itamar
איתן,Etan
אכסאל,Iksal
אל מסק,Al-Masak
אל סייד,Al-Sayyid
אל עזי,Al-Azzi
אל עמארני,Al-Amarna
אל עריאן,Al-Aryan
אל פורעה,Al-Fura'a
אל רום,Al-Rom
אל-ח'וואלד מערב,Al-Khawaled West
אל-סייד והפזורה,Al-Sayyid and Dispersion
אלומה,Alumah
אלומות,Alumot
אלון,Alon
אלון הגליל,Alon HaGalil
אלון מורה,Alon Moreh
אלון שבות,Alon Shvut
אלוני אבא,Allone Abba
אלוני הבשן,Allonei HaBashan
אלוני יצחק,Allonei Yitzhak
אלונים,Aloneem
אלי עד,Eli Ad
אליאב,Eliav
אליכין,Eliakhin
אליפז ומכרות תמנע,Elifaz and Timna Mines
אליפלט,Elifelet
אליקים,Elyakim
אלישיב,Elishiv
אלישמע,Elishama
אלמגור,Almagor
אלמוג,Almog
אלעד,Elad
אלעזר,Elazar
אלפי מנשה,Alfe Menashe
אלקוש,Elkosh
אלקנה,Elkana
אמונים,Emunim
אמירים,Amirim
אמנון,Amnon
אמץ,Amatz
אמציה,Amazya
אניעם,Aniam
אעבלין,I'billin
אעירה השחר,A'ira HaShahar
אפיק,Afik
אפיקים,Afikim
אפק,Afek
אפקה,Afeka
אפרת,Efrat
ארבל,Arbel
ארגמן,Argaman
ארז,Erez
אריאל,Ariel
ארסוף,Arsuf
אש קודש,Esh Kodesh
אשבול,Eshbol
אשבל,Eshbal
אשדוד - א,Ashdod - Zone A
"אשדוד - א,ב,ד,ה","Ashdod - Zones A, B, D, E"
אשדוד - אזור תעשייה צפוני ונ,Ashdod - Northern Industrial Zone
אשדוד - איזור תעשייה צפוני,Ashdod - Northern Industrial Zone
אשדוד - ג,Ashdod - Zone C
"אשדוד - ג,ו,ז","Ashdod - Zones C, F, G"
אשדוד - ח,Ashdod - Zone H
"אשדוד - ח,ט,י,יג,יד,טז","Ashdod - Zones H, T, Y, 13, 14, 16"
אשדוד - יא,Ashdod - Zone 11
אשדוד -יא,Ashdod - Zone 11
"אשדוד -יא,יב,טו,יז,מרינה,סיט","Ashdod - Zones 11, 12, 15, 17, Marina, City"
אשדוד סיטי,Ashdod City
אשדות יעקב,Ashdot Ya'akov
אשדות יעקב איחוד,Ashdot Ya'akov (Ichud)
אשדות יעקב מאוחד,Ashdot Ya'akov (Me'uhad)
אשחר,Eshhar
אשכולות,Eshkolot
אשל הנשיא,Eshel HaNassi
אשלים,Ashalim
אשקלון,Ashkelon
אשקלון - דרום,Ashkelon - South
אשקלון - צפון,Ashkelon - North
אשרת,Asherit
אשתאול,Eshta'ol
אשתמוע,Eshtemoa
אתר דודאים,Dudaim Site
אתר ההנצחה גולני,Golani Memorial Site
באקה אל גרבייה,Baqa al-Gharbiyye
באר אורה,Be'er Ora
באר גנים,Be'er Ganim
באר טוביה,Beer Tuvia
באר יעקב,Beer Ya'akov
באר מילכה,Beer Milka
באר שבע - דרום,Beersheba - South
באר שבע - מזרח,Beersheba - East
באר שבע - מערב,Beersheba - West
באר שבע - צפון,Beersheba - North
בארות יצחק,Be'erot Yitzhak
בארותיים,Be'erotayim
בארי,Be'eri
בוסתן הגליל,Bustan HaGalil
בועיינה-נוג'ידאת,Bi'ina-Nujeida
בוקעתא,Buq'ata
בורגתה,Burgata
בחלק מהאזורים בארץ,Various Areas in the Country
בחן,Bahan
בטחה,Bitcha
"בי""ס כרמים בנימינה","Karmim School, Binyamina"
ביצרון,Bitzaron
ביר אלמכסור,Bir al-Maksur
ביר הדאג',Bir al-Hadaj
ביריה,Biriya
בית אורן,Beit Oren
בית אל,Beit El
בית אלעזרי,Beit Elazari
בית אלפא וחפציבה,Beit Alfa and Heftziba
בית אריה,Beit Arye
בית ברל,Beit Berl
בית ג'אן,Beit Jann
בית גוברין,Beit Guvrin
בית גמליאל,Beit Gamliel
בית דגן,Beit Dagan
בית הברכה,Beit HaBracha
בית הגדי,Beit HaGadi
בית הלוי,Beit HaLevi
בית הלל,Beit Hillel
בית העלמין החדש נהריה,New Cemetery Nahariya
בית העלמין החדש עכו,New Cemetery Akko
בית העמק,Beit HaEmek
בית הערבה,Beit HaArava
בית השיטה,Beit HaShitta
בית זית,Beit Zayit
בית זרע,Beit Zera
"בית חג""י",Beit Haggai
בית חגי,Beit Haggai
בית חגלה,Beit Hagla
בית חורון,Beit Horon
בית חזון,Beit Hazon
בית חלקיה,Beit Halakhiya
בית חנן,Beit Hanan
בית חנניה,Beit Hananya
בית חרות,Beit Herut
בית חשמונאי,Beit Hashmonai
בית יהושע,Beit Yehoshua
בית יוסף,Beit Yosef
בית ינאי,Beit Yanai
בית יצחק - שער חפר,Beit Yitzhak - Sha'ar Hefer
בית ירח,Beit Yerah
בית יתיר,Beit Yatir
בית לחם הגלילית,Beit Lehem HaGelilit
בית מאיר,Beit Meir
בית נחמיה,Beit Nehemiah
בית ניר,Beit Nir
בית נקופה,Beit Naqofa
בית סוהר השרון,Sharon Prison
בית סוהר מגידו,Megiddo Prison
בית סוהר נפחא,Nafha Prison
בית סוהר צלמון,Tzalmon Prison
בית סוהר קישון,Kishon Prison
בית סוהר שיטה וגלבוע,Shita and Gilboa Prison
בית ספר אורט בנימינה,ORT School Binyamina
בית ספר שדה מירון,Meron Field School
בית עובד,Beit Oved
בית עוזיאל,Beit Uziel
בית עזרא,Beit Ezra
בית עלמין מורשה,Morasha Cemetery
בית עלמין תל רגב,Tel Regev Cemetery
בית עריף,Beit Arif
בית צבי,Beit Tzvi
בית קמה,Beit Qama
בית קשת,Beit Qeshet
בית רימון,Beit Rimmon
בית שאן,Beit She'an
בית שמש,Beit Shemesh
בית שערים,Beit She'arim
בית שקמה,Beit Shikma
ביתן אהרן,Bitan Aharon
ביתר עילית,Beitar Illit
בלפוריה,Balfouriya
בן זכאי,Ben Zakkai
בן עמי,Ben Ami
בן שמן,Ben Shemen
בני אדם,Bnei Adam
בני ברק,Bnei Brak
בני דקלים,Bnei Dekalim
בני דרום,Bnei Darom
בני דרור,Bnei Dror
בני יהודה וגבעת יואב,Bnei Yehuda and Giv'at Yo'av
בני נצרים,Bnei Netzarim
בני עטרות,Bnei Atarot
בני עי''ש,Bnei Ayish
בני ציון,Bnei Zion
בני ראם,Bnei Re'em
בניה,Benaya
בנימינה,Binyamina
בסמת טבעון,Basmat Tab'un
בענה,Bi'na
בצרה,Batzra
בצת,Batzet
בקוע,Bako'a
בקעות,Bik'ot
בר גיורא,Bar Giora
בר יוחאי,Bar Yohai
בר כוכבא,Bar Kokhba
ברוכין,Bruchin
ברור חיל,Brur Hayil
ברוש,Brosh
ברחבי הארץ,Countrywide
ברטעה,Bart'a
ברכיה,Berekhya
ברעם,Bar'am
ברקאי,Barkai
ברקן,Barkan
ברקת,Bareket
בת הדר,Bat Hadar
בת חן,Bat Chen
בת חפר,Bat Hefer
בת ים,Bat Yam
בת עין,Bat Ayin
בת שלמה,Bat Shelomo
בת-ים,Bat Yam
בתי מלון ים המלח,Dead Sea Hotels
בתרונות,Batronot
ג'דידה מכר,Judeide-Makr
ג'וליס,Julis
ג'לג'וליה,Jaljulia
ג'סר א-זרקא,Jisr az-Zarqa
ג'ש - גוש חלב,Gush Halav (Jish)
ג'ת,Jat
גאולי תימן,Ge'ulei Teiman
גאולים,Ge'ulim
גאליה,Ge'alia
גבולות,Gevulot
גבים,Gavim
גבע בנימין,Geva Binyamin
גבע כרמל,Geva Carmel
גבעולים,Giv'olim
גבעון החדשה,Givon HaHadasha
גבעות,Giv'ot
גבעות בר,Giv'ot Bar
גבעות גורל,Giv'ot Goral
גבעות עדן,Giv'ot Eden
גבעת אבני,Giv'at Avni
גבעת אלה,Giv'at Ela
גבעת אסף,Giv'at Asaf
גבעת ברנר,Giv'at Brenner
גבעת הראל,Giv'at HaRel
גבעת הראל וגבעת הרואה,Giv'at HaRel and Giv'at HaRo'eh
גבעת הרואה,Giv'at HaRo'eh
גבעת השלושה,Giv'at HaShelosha
גבעת וולפסון,Giv'at Wolfson
גבעת וושינגטון,Giv'at Washington
גבעת זאב,Giv'at Ze'ev
גבעת חביבה,Giv'at Haviva
גבעת חיים איחוד,Giv'at Hayim (Ichud)
גבעת חיים מאוחד,Giv'at Hayim (Me'uhad)
גבעת חן,Giv'at Chen
גבעת יערים,Giv'at Ye'arim
גבעת ישעיהו,Giv'at Yeshayahu
גבעת כ''ח,Giv'at Ko'ah
גבעת ניל''י,Giv'at Nili
גבעת עדה,Giv'at Ada
גבעת עוז,Giv'at Oz
גבעת פורת יוסף,Giv'at Porat Yosef
גבעת שמואל,Giv'at Shmuel
גבעת שפירא,Giv'at Shapira
גבעתי,Giv'ati
גבעתיים,Givatayim
גברעם,Gav'ram
גבת,Gevat
גדות,Gadot
גדעונה,Gid'ona
גדרה,Gedera
גונן,Gonen
גופנה,Gofna
גורן,Goren
גורנות הגליל,Gornot HaGalil
גזית,Gazit
גזר,Gezer
גיאה,Gia
גיבתון,Givton
גיזו,Gizo
גילת,Gilat
גינוסר,Ginosar
גינתון,Ginaton
גיתה,Gita
גיתית,Gitit
גלאון,Ga'alon
גלגל,Gilgal
גלעד,Gil'ad
גמזו,Gimzo
גן הדרום,Gan HaDarom
גן השומרון,Gan HaShomron
גן חיים,Gan Hayim
גן יאשיה,Gan Yoshiya
גן יבנה,Gan Yavne
גן נר,Gan Ner
גן שורק,Gan Sorek
גן שלמה,Gan Shlomo
גן שמואל,Gan Shmuel
גנות,Ganot
גנות הדר,Ganot HaDar
גני הדר,Ganei HaDar
גני חוגה,Ganei Huga
גני טל,Ganei Tal
גני יוחנן,Ganei Yohanan
גני עם,Ganei Am
גני תקווה,Ganei Tikva
גניגר,Ginigar
געש,Ga'ash
געתון,Ga'aton
גפן,Gefen
גרופית,Grofit
גשור,Geshur
גשר,Gesher
גשר הזיו,Gesher HaZiv
גת,Gat
גת רימון,Gat Rimon
דבוריה,Daburiyya
דביר,Dvir
דברת,Daverat
דגניה א,Deganya A
דגניה ב,Deganya B
דוב''ב,Dov'ev
דוגה,Doga
דוגית,Dugit
דולב,Dolev
דור,Dor
דורות,Dorot
דורות עילית,Dorot Illit
דחי,Dahi
דימונה,Dimona
דיר אל-אסד,Deir al-Asad
דיר חנא,Deir Hanna
דישון,Dishon
דליה,Dalia
דלית אל כרמל,Daliyat al-Carmel
דלתון,Dalton
דמיידה,Dmaideh
דניאל,Daniel
דפנה,Dafna
דקל,Dekel
דריג'את,Darijat
האון,HaOn
הבונים,HaBoniim
הגבעה הצהובה,HaGiv'a HaTzehuva
הגושרים,HaGosherim
הדר עם,Hadar Am
הוד השרון,Hod HaSharon
הודיה,Hodiya
הודיות,Hodiyot
הושעיה,Hoshaya
הזורעים,HaZor'im
החווה של אורי כהן,Uri Cohen's Farm
החווה של זוהר,Zohar's Farm
החווה של יאיא,Yaya's Farm
החווה של מנחם,Menahem's Farm
החווה של עשהאל,Asahel's Farm
החותרים,HaHotrim
היוגב,HaYogev
היישוב היהודי חברון,Jewish Community of Hebron
הילה,Hila
המכללה האקדמית כנרת,Kinneret Academic College
המעפיל,HaMa'apil
המרכז האקדמי רופין,Ruppin Academic Center
הסוללים,HaSolelim
העוגן,HaOgen
הר אדר,Har Adar
הר ברכה,Har Bracha
הר גילה,Har Gilo
הר הנגב,Har HaNegev
הר חלוץ,Har Haluz
הר עמשא,Har Amasha
הר-חלוץ,Har Haluz
הראל,HaRel
הרדוף,Harduf
הרצליה - מערב,Herzliya - West
הרצליה - מרכז וגליל ים,Herzliya - Center and Galil Yam
הרצליה - פיתוח,Herzliya - Pituah
הררית יחד,Hararit Yahad
ואדי אל חמאם,Wadi al-Hamam
ואדי אל נעם,Wadi al-Na'am
ואדי אל נעם דרום,Wadi al-Na'am South
ורד יריחו,Vered Yeriho
ורדון,Vardon
זבדיאל,Zavdi'el
זוהר,Zohar
זיקים,Zikim
זיתן,Zaitan
זכרון יעקב,Zichron Ya'akov
זכריה,Zekharyа
זמר,Zemar
זמרת,Zamrat
זמרת ושובה,Zamrat and Shuva
זנוח,Zanoah
זרועה,Zero'a
זרזיר,Zarzir
זרחיה,Zarkiya
זרעית,Zar'it
ח'וואלד,Khawaled
חבצלת השרון וצוקי ים,Habatzelet HaSharon and Tzuki Yam
חברון,Hebron
חג'אג'רה,Hujayrat
חגור,Hagor
חגלה,Hagla
חד נס,Had Nes
חדיד,Hadid
חדרה - מזרח,Hadera - East
חדרה - מערב,Hadera - West
חדרה - מרכז,Hadera - Center
חדרה - נווה חיים,Hadera - Neve Hayim
חוואלד,Khawaled
חוות אביה,Avia Farm
חוות אביחי,Avihai Farm
חוות אירוח גורן,Goren Guest Farm
חוות אל נווה,Al Nave Farm
חוות אלחי,Elhai Farm
חוות ארץ האיילים,Land of Deer Farm
חוות אשכולות,Eshkolot Farm
חוות בניהו,Benayahu Farm
חוות גלעד,Gil'ad Farm
חוות גנות,Ganot Farm
חוות דרומא,Droma Farm
חוות הרועה העברי,Hebrew Shepherd Farm
חוות הרשאש,Harshash Farm
חוות חנינא,Hanina Farm
חוות טואמין,Tu'amin Farm
חוות טליה,Talya Farm
חוות יאיר,Ya'ir Farm
חוות יד השומר,Yad HaShomer Farm
חוות יויו,Yoyo Farm
חוות יזרעם,Yizre'am Farm
חוות ינון,Yinon Farm
חוות מגדלים,Migdalim Farm
חוות מגנזי,Magnezi Farm
חוות מדבר חבר,Midbar Hever Farm
חוות מור ואברהם,Mor and Avraham Farm
חוות מלאכי אברהם,Malakhi Avraham Farm
חוות מלכיאל,Malkiel Farm
חוות מנחם,Menahem Farm
חוות מעלה אהוביה,Ma'ale Ahuviya Farm
חוות מקנה יהודה,Mikne Yehuda Farm
חוות מרום שמואל,Marom Shmuel Farm
חוות נווה צוף,Neve Tzuf Farm
"חוות נוף אב""י","Nof Avi Farm"
חוות נחל שילה,Nahal Shilo Farm
חוות נחלת אבות,Nahalat Avot Farm
חוות נחלת צבי,Nahalat Tzvi Farm
חוות עדן,Eden Farm
חוות עולם חסד,Olam Hesed Farm
חוות עמיאל,Amiel Farm
חוות ערנדל,Arendel Farm
חוות פריאל,Priel Farm
חוות צאן קדר,Kedar Flock Farm
חוות צרידה,Tzerida Farm
חוות קשואלה,Kishu'ala Farm
חוות ראש תאנה,Rosh Te'ena Farm
חוות שדה,Sade Farm
חוות שדה בר,Sade Bar Farm
חוות שוביאל,Shuviel Farm
חוות שחרית,Shaharit Farm
חוות שיקמים,Shikmaim Farm
חוות תלם צפון,Telem North Farm
חולדה,Hulda
חולון,Holon
חולית,Hulit
חולתה,Hulata
חומש,Homesh
חוסן,Hosen
חוסנייה,Husaniyya
חוף אכזיב,Achziv Beach
חוף אמנון,Amnon Beach
חוף בצת,Batzet Beach
חוף גולן,Golan Beach
חוף גופרה,Gofra Beach
חוף זיקים,Zikim Beach
חוף כורסי,Kursi Beach
חוף כינר,Kinnar Beach
חוף ניצנים,Nitzanim Beach
חוף סוסיתא,Susita Beach
חוף קליה,Qalya Beach
חופית,Hofit
חוקוק,Huqoq
חורה,Hura
חורפיש,Hurfeish
חורשים,Horsheim
חזון,Hazon
חי-בר יטבתה,Hai-Bar Yotvata
חיבת ציון,Hibbat Zion
חיננית,Hinanit
חיפה - בת גלים ק.אליעזר,Haifa - Bat Galim and Kiryat Eliezer
"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Lower City"
חיפה - מערב,Haifa - West
חיפה - מפרץ,Haifa - Bay
חיפה - נווה שאנן ורמות כרמל,Haifa - Neve Sha'anan and Ramot Carmel
חיפה - קריית חיים ושמואל,Haifa - Kiryat Hayim and Shmuel
חיפה-מפרץ,Haifa - Bay
חירן,Hiran
חלוקים,Hlokim
חלמיש,Hallamish
חלץ,Halatz
חמד,Hemed
חמדיה,Hamadiya
חמדת,Hamdat
חמדת ימים,Hamdat Yamim
חמרה,Hamra
חמת גדר,Hamat Gader
חניאל,Haniel
חניון הנתיב מהיר,Fast Lane Parking
חניון רעים אנדרטת הנובה,Re'im Nova Memorial Parking
חניתה,Hanita
חנתון,Hannaton
חספין,Haspin
חפץ חיים,Hafetz Hayim
חצב,Hatzav
חצבה,Hatzeva
חצור,Hatzor
חצור אשדוד,Hatzor Ashdod
חצור הגלילית,Hazor HaGlilit
חצרים,Hatzarim
חרב לאת,Harev La'et
חרוצים,Harutzim
חרות,Herut
חריש,Harish
חרמש,Hermesh
חרמש דרום,Hermesh South
חרשה,Harsha
חרשים,Harashim
חשמונאים,Hashmonaim
טבחה,Tabgha
טבריה,Tiberias
טובא זנגריה,Tuba-Zangariyye
טורעאן,Tur'an
טייבה,Tayibe
טייבה בגלבוע,Tayibe in Gilboa
טירה,Tire
טירת יהודה,Tirat Yehuda
טירת כרמל,Tirat Carmel
טירת צבי,Tirat Tzvi
טל - אל,Tal-El
טל מנשה,Tal Menashe
טל שחר,Tal Shahar
טל-אל,Tal-El
טללים,Telalim
טלמון,Talmon
טמרה,Tamra
טמרה בגלבוע,Tamra in Gilboa
טנא עומרים,Tena Omerim
טפחות,Tafaḥot
יבוא דודי,Yavo Dudi
יבול,Yevul
יבנאל,Yavne'el
יבנה,Yavne
יגור,Yagur
יגל,Yagel
יד בנימין,Yad Binyamin
יד השמונה,Yad HaShmonah
יד חנה,Yad Hanna
יד מרדכי,Yad Mordekhay
יד נתן,Yad Natan
יד רמב''ם,Yad Rambam
יהוד מונוסון,Yehud Monosson
יהוד-מונוסון,Yehud-Monosson
יהל,Yahel
יובלים,Yovelim
יודפת,Yodfat
יונתן,Yonatan
יושיביה,Yoshivya
יזרעאל,Yizre'el
יחיעם,Yehi'am
יטבתה,Yotvata
ייט''ב,Yitav
יכיני,Yakhini
ימין אורד,Yamin Orde
ינוב,Yanuv
ינוח ג'ת,Yanuh-Jat
ינוח-ג'ת,Yanuh-Jat
ינון,Yinon
יסוד המעלה,Yesod HaMa'ala
יסודות,Yesodot
יסעור,Yis'ur
יעבץ,Ya'betz
יעד,Ya'ad
יעף,Ya'af
יערה,Ya'ara
יערות הכרמל,Carmel Forest
יפיע,Yafi'a
יפית,Yafit
יפעת,Yif'at
יפתח,Yiftah
יצהר,Yitzhar
יציץ,Yatzitz
יקום,Yakum
יקיר,Yakir
יקנעם המושבה והזורע,Yokneam Moshava and HaZore'a
יקנעם עילית,Yokneam Illit
יראון,Yir'on
ירדנה,Yardena
ירוחם,Yeruham
ירושלים - אזור תעשייה עטרות,Jerusalem - Atarot Industrial Zone
ירושלים - דרום,Jerusalem - South
ירושלים - כפר עקב,Jerusalem - Kfar Aqab
ירושלים - מזרח,Jerusalem - East
ירושלים - מערב,Jerusalem - West
ירושלים - מרכז,Jerusalem - Center
ירושלים - צפון,Jerusalem - North
ירושלים - צפון ואלונים,Jerusalem - North and Aloneem
ירחיב,Yarhiv
ירכא,Yirka
ירקונה,Yarqona
ישובי אומן,Uman Settlements
ישובי יעל,Ya'el Settlements
ישע,Yesha
ישעי,Yish'i
ישרש,Yishrash
יתד,Yated
כאבול,Kabul
כאוכב אבו אלהיג'א,Kawkab Abu al-Hija
כברי,Kabri
כדורי,Kadoorie
כוחלה מכחול,Kuhla Makhul
כוכב השחר,Kokhav HaShahar
כוכב יאיר - צור יגאל,Kokhav Yair - Tzur Yigal
כוכב יעקב,Kokhav Ya'akov
כוכב מיכאל,Kokhav Mikha'el
כורזים ורד הגליל,Korazim Vered HaGalil
כושי רמון,Kushe Ramon
כחל,Kahal
כינרת מושבה,Kinneret Moshava
כינרת קבוצה,Kinneret Kibbutz
כיסופים,Kisufim
כיסרא סמיע,Kisra-Sumei
כישור,Kishor
כלא דמון,Damon Prison
כליל,Kalil
כלנית,Kalanit
כמהין,Kmahin
כמון,Kammon
כמון - כמאנה מזרחית,Kammon - Kama'ana East
כנות,Kanot
כנף,Kanaf
כסייפה,Kasayfa
כסייפה והפזורה,Kasayfa and Dispersion
כסלון,Kesalon
כסרא סמיע,Kisra-Sumei
כעביה,Ka'abiyye
כעביה טבאש,Ka'abiyye Tabbash
כפר אביב,Kfar Aviv
